,AX_magnitude_means,AX_magnitude_std,AX_magnitude_rms,AX_magnitude_peak,AX_magnitude_skew,AX_magnitude_kurtosis,AX_magnitude_form_factor,AX_magnitude_impulse_factor,AX_magnitude_clearance_factor,AX_magnitude_abs_means,AX_spectral_peak,AX_spectral_centroid,AX_mean_square_frequency,AX_frequency_variance,AX_spectral_entropy,AX_sample_entropy,AX_permutation_entropy,AY_magnitude_means,AY_magnitude_std,AY_magnitude_rms,AY_magnitude_peak,AY_magnitude_skew,AY_magnitude_kurtosis,AY_magnitude_form_factor,AY_magnitude_impulse_factor,AY_magnitude_clearance_factor,AY_magnitude_abs_means,AY_spectral_peak,AY_spectral_centroid,AY_mean_square_frequency,AY_frequency_variance,AY_spectral_entropy,AY_sample_entropy,AY_permutation_entropy,AZ_magnitude_means,AZ_magnitude_std,AZ_magnitude_rms,AZ_magnitude_peak,AZ_magnitude_skew,AZ_magnitude_kurtosis,AZ_magnitude_form_factor,AZ_magnitude_impulse_factor,AZ_magnitude_clearance_factor,AZ_magnitude_abs_means,AZ_spectral_peak,AZ_spectral_centroid,AZ_mean_square_frequency,AZ_frequency_variance,AZ_spectral_entropy,AZ_sample_entropy,AZ_permutation_entropy,GX_magnitude_means,GX_magnitude_std,GX_magnitude_rms,GX_magnitude_peak,GX_magnitude_skew,GX_magnitude_kurtosis,GX_magnitude_form_factor,GX_magnitude_impulse_factor,GX_magnitude_clearance_factor,GX_magnitude_abs_means,GX_spectral_peak,GX_spectral_centroid,GX_mean_square_frequency,GX_frequency_variance,GX_spectral_entropy,GX_sample_entropy,GX_permutation_entropy,GY_magnitude_means,GY_magnitude_std,GY_magnitude_rms,GY_magnitude_peak,GY_magnitude_skew,GY_magnitude_kurtosis,GY_magnitude_form_factor,GY_magnitude_impulse_factor,GY_magnitude_clearance_factor,GY_magnitude_abs_means,GY_spectral_peak,GY_spectral_centroid,GY_mean_square_frequency,GY_frequency_variance,GY_spectral_entropy,GY_sample_entropy,GY_permutation_entropy,GZ_magnitude_means,GZ_magnitude_std,GZ_magnitude_rms,GZ_magnitude_peak,GZ_magnitude_skew,GZ_magnitude_kurtosis,GZ_magnitude_form_factor,GZ_magnitude_impulse_factor,GZ_magnitude_clearance_factor,GZ_magnitude_abs_means,GZ_spectral_peak,GZ_spectral_centroid,GZ_mean_square_frequency,GZ_frequency_variance,GZ_spectral_entropy,GZ_sample_entropy,GZ_permutation_entropy
PC1,-1.4869801494823176e-07,0.0004819985087320122,0.0004818498107172775,0.05851012497184038,0.01241684600768067,0.2807776014860144,0.01015084992944508,0.14845847956516578,0.057856593254360385,-0.0032288895496482397,-0.0037299876402400903,-0.0031374103301265474,-0.0036353282365300054,-0.0003545321645039229,0.03374552639308887,-0.06552349670830852,0.0021168109575896888,-9.738223889529045e-06,0.00048199850873212796,0.0004722602848423436,0.05787946893120555,0.003956431725091703,0.26626392930460585,0.0068228050677747384,0.1219686960477936,0.05720980086157823,-0.002453340573361081,0.012423559065337729,-0.0036897199293279073,-0.004586412553901121,-0.000578474526126314,0.03519145601416974,-0.09835383146262794,0.0015291332313019925,-6.341654385629664e-08,0.00048199850873212677,0.00048193509218827184,0.054492348824613505,0.0016387553342352098,0.2395395055451234,0.0074044661373353395,0.12077148124392298,0.05384652095652868,-0.002606209127265703,0.020075808089352387,-0.0042045442114091525,-0.005000863149983111,-0.0005116581924330906,0.03392962888510146,-0.14329718533382305,0.0018399808674607193,1.8555160701525805e-07,0.00048199850873212433,0.000481812957125113,0.04278384498138901,-0.005944224592705655,0.1299011177038749,0.006376784783218398,0.08138126515031942,0.042182354176701076,-0.0025855013974039175,0.031746427056714606,-0.003741784814654307,-0.004676521331099575,-0.0005067467011722148,0.03758783528250847,-0.25451731033238095,0.0018686876206767497,4.6227933599159977e-07,0.00048199850873212666,0.00048153622939613134,0.054648429573522526,-0.003939540232273515,0.20460070801546137,0.009872433630047195,0.12188322307118506,0.05408174507462144,-0.003865680335339393,0.00018187514285016054,-0.0030256374771583617,-0.00394438102776505,-0.0004233503416546849,0.0397324638613343,-0.22060630175081633,0.001919329903326604,1.2461047896171011e-06,0.0004819985087321253,0.00048075240394251,0.09557865079086403,-0.004151875085391958,0.5759368729941732,0.03443122997238267,0.3419199625119183,0.09548002238558745,-0.009590800588031013,-0.028859234908796758,-0.0070461971632728776,-0.006278454660337892,-0.00024257425735068537,0.03037515211896532,-0.07443357254167146,0.002249426934993355
PC2,-1.102867159713431e-06,0.0006180036010480228,0.0006169007338879817,-0.007222364068319817,-0.003633891940294509,-0.03440278722022455,-0.004587745555648087,-0.01989810943290881,-0.008381025940083185,0.003006475462809802,0.018240434225657985,0.001424297327634755,-0.0010879362158464161,-0.0007889515947344973,0.012158866730719784,0.4890977242992339,0.0034904486664659932,-7.222670272759658e-05,0.0006180036010479816,0.0005457768983203944,-0.005291095708755863,-0.0006743423117472801,-0.024323634444482822,-0.0033097958725863434,-0.015404830587194203,-0.006337665323856758,0.002317287867206437,0.02124375373746455,-0.00289082795605462,-0.005894633998820219,-0.0018560008536500179,0.0033106951637179444,0.2091963503654895,0.0012630859056574294,-4.7034941000961166e-07,0.0006180036010479835,0.0006175332516379681,-0.00834534354663969,-0.005385912473554447,-0.040370191930074184,-0.004656131039762565,-0.024530043791241553,-0.009480460123997059,0.002924219474826267,0.02041920982973036,-0.0009843013557768515,-0.003694698468322992,-0.0014102105171868273,0.00650169371426519,0.6012592813440262,0.003079277517940336,1.3762038039172088e-06,0.0006180036010479857,0.0006166273972440681,0.0019464005579973166,-0.0007099884087305459,0.0032509314117027325,-0.0007009883226230943,1.9815249690098705e-05,0.0010347802503521224,0.0009133446051305959,0.0134196613447573,-0.002119890400148645,-0.004756455673553281,-0.001343548743604246,0.008047846212098487,0.24633433808300967,0.003011249574514154,3.428644951654989e-06,0.0006180036010479841,0.0006145749560963259,0.0004569926244942695,0.0036801000056508855,-0.007401023545181284,-0.0016770344668914335,-0.004051516683133858,-0.0005256597017594525,0.001439740789935201,0.01572897333122049,-0.002443707719466937,-0.005108305564469428,-0.0014203075700086288,0.007283876544142102,0.3030331318872636,0.0027669722806349037,9.242141198007116e-06,0.0006180036010479845,0.0006087614598499729,0.05986250230081207,-0.0029601303237263743,0.38228187495651195,0.02453963742350761,0.2000925145147795,0.06000674657044353,-0.007405992570544444,-0.02727886367151559,-0.009071213911089475,-0.008828804377589013,-0.0011560612198429376,-0.0060433610608952755,-0.02597685955962094,0.00397660573429926
PC3,-6.223110078167052e-07,0.0004318113469178875,0.0004311890359097459,0.030512148364862712,0.00382964469663101,0.15013216090437487,0.007363169013670845,0.07960551449919445,0.030048905371012485,-0.0027017455477102367,-0.0004384345680917452,-0.0038298215956621053,-0.005109075101333262,-0.0006868114849481682,0.011284973871361346,-0.07416872291984769,0.0015835608834170066,-4.075510977842798e-05,0.0004318113469175679,0.0003910562371391553,0.030515402356095966,0.00471521098232111,0.13751194308452613,0.004185897607639381,0.06328597912048459,0.03007245299036475,-0.0016768305984899926,-0.0003290296056813583,-0.0005049502586083477,-0.0019343329922927584,-0.0003848316395275447,0.018374437168051424,0.005623085713566761,0.0026481793699503022,-2.654024220308223e-07,0.0004318113469175643,0.0004315459444955354,0.02808998589480474,0.003405868528956671,0.12108578019988715,0.0051733891740894855,0.06286680630113464,0.027635805465335627,-0.002091540606052294,0.004932118855360163,-0.003073625072045595,-0.004680543214316716,-0.000912313809294984,0.011936797165023827,-0.4102035728852739,0.0014781588735929185,7.765457232300343e-07,0.0004318113469175611,0.0004310348011943385,-0.002189463815188245,0.000694008913366988,-0.035349013954052204,-0.0043351306269204335,-0.016969563290837247,-0.0030845355157722164,0.002358151234337272,0.02221966352007936,0.0006141786728443163,-0.0008844577569419104,-0.0007068897835954777,0.014657446616041316,0.8297440279003484,0.001966332429818707,1.934669535212138e-06,0.0004318113469175618,0.00042987667738234774,0.01222657558185585,-0.006060308113528139,0.03740209379959526,0.0003131490276737241,0.023159261964950766,0.011512077002637592,0.00024748005137837064,0.0065346556970440044,-0.0013323408840821064,-0.0030567125485924246,-0.0006159972792277581,0.015505262982177468,0.2247743545280667,0.0015654472990636501,5.215030797307955e-06,0.0004318113469175616,0.00042659631612024614,0.013213696246127242,-0.004335179534889997,0.046231696170746524,0.0024984024258018216,0.046540005933859575,0.012426800869495897,-0.00010102307420676278,0.0066398969456069575,6.110840395627416e-05,-0.002009250560214125,-0.0007276694129371253,0.019250184888668753,0.02768579612186865,0.0019912906733601456
PC4,-4.2970025321078114e-07,0.00027715840151057436,0.00027672870125708404,0.03613129167874107,0.006397423407545191,0.1754344069879279,0.008495022229357205,0.09186571728990195,0.035982341011411845,-0.0034269567923401467,-0.004375509231767549,-0.00430806301120959,-0.004947531442502928,-0.000380627215844781,0.009892951532382517,-0.5659851983941026,0.0006292564520214653,-2.8141043258487206e-05,0.00027715840151035297,0.0002490173582517778,0.032236637377474,0.0013703080715421207,0.16005120518629334,0.004987611488747972,0.07005485368898247,0.032010224141179405,-0.002229537125616671,-0.0020769109742538455,0.0005445982960717461,-0.00012992948310563713,0.00017610470751011102,0.02015079173765633,0.10155249717878603,0.0027412997475658226,-1.8325802776452834e-07,0.0002771584015103444,0.0002769751434825829,0.021341825178200446,0.004932890976708138,0.10178823711946512,0.002970388240056274,0.04964495557009616,0.0209787107982586,-0.00091121911991458,0.003390656039656152,-0.0009967372801769204,-0.001340767897621955,-0.0001647446867595168,0.011829394244851658,0.2629101180922454,0.001228087262872961,5.361979616420583e-07,0.0002771584015103519,0.00027662220354871187,0.00836038642972429,-0.0007636923617861379,0.0037338433061084053,-0.0005565202663762233,0.008199819526761886,0.007907389920551091,0.0003095332988175563,0.018143319943121357,-0.0015618767249064047,-0.0028487732611480166,-0.0005326539010409414,0.012848326291992488,-0.2017122658760868,0.0005126889226364866,1.3358722225869411e-06,0.000277158401510348,0.0002758225292877631,0.008393805503410089,-0.00913603475140874,0.027278194751835582,-0.0009319233054006553,0.015489706923592928,0.007842932962951242,0.0008089942435480917,0.007534251605456317,0.001101610665101377,0.00034422053661091364,-0.00034498903493728345,0.01401056062579353,0.6767840930807323,0.0010796965428421903,3.600932694323042e-06,0.00027715840151035015,0.00027355746881603326,-0.008166414080543392,0.007343803354644321,-0.08120642880365823,-0.006326706466100898,-0.023035909482141067,-0.009134816085522019,0.002671877868460994,0.026166620570191475,0.003118043313228683,0.0005176358184876012,-0.0006709188770956132,0.022392900270263146,0.041233318289458185,0.0002754642269754073
PC5,2.323945315850011e-07,-0.00014700619159685457,-0.0001467737970653818,-0.014508906224624335,-0.001548919157689864,-0.06397979831616249,-0.003959775378732284,-0.035909562581789234,-0.014423950539564967,0.0017181922110935666,0.0004554219005140636,0.002603689219251526,0.0030613514685639,0.0003626959952107156,-0.0017980423989834501,0.4553480646002261,-5.4591821065978004e-05,1.5219503636760798e-05,-0.0001470061915968452,-0.0001317866879598509,-0.01485863290354922,0.0025748014442265976,-0.05862042315255158,-0.0023803650562180868,-0.029610578150490695,-0.014788582871248629,0.001214629220277201,0.001982737891045153,-0.00376498621558942,-0.0032407898019343744,-0.0005987237549340024,-0.017233533799337685,-0.31617755052245833,-0.003350733365095399,9.911132982650356e-08,-0.00014700619159685138,-0.00014690708026702428,-0.0050684368504723245,-0.0016140812165815104,-0.024613686421587348,-0.0008268596152102595,-0.012326822470288427,-0.004835474672202835,0.0002530315329336368,-0.0019241502373002217,-0.0011446362085928104,-0.0008120789131584805,0.00010575946570334511,-0.006344015320251127,-0.482826394019325,-0.0013073415901069456,-2.8999162370699625e-07,-0.00014700619159684983,-0.000146716199973142,-0.0012625952094489701,0.0022068486300175984,0.002082978569706479,0.00010253846670063648,-0.0011327226461952558,-0.0010085192892100754,-0.0002096697819860921,-0.0064986206754736025,-1.5083525462960208e-05,0.000595896585967617,0.00018042722963546658,-0.004264018479112627,-0.3189263352678402,-0.0005148647057152748,-7.224789771795879e-07,-0.00014700619159685105,-0.00014628371261966587,-0.011274228541408322,-0.002878139557436993,-0.04437862035908252,-0.0030306574758296673,-0.025777446055038237,-0.011180737450207437,0.0014187758338242986,0.0018379251511703605,0.0011146129570049643,0.0014996274088524247,0.0002660370317246913,-0.0044341732900261615,0.5813090564830979,-0.0005123843174148607,-1.9474902808074256e-06,-0.0001470061915968451,-0.00014505870131604958,0.007120561729048751,0.004326820475094874,0.05978855832253626,0.0036188735455270128,0.02170629037384011,0.007578778169227906,-0.0015045856086598804,-0.014976708706827817,-0.0026536334619709414,-0.001201101884362912,0.00019378013784872547,-0.00986046818453795,-0.02460120431264981,-0.000691516512489486
PC6,-1.6837633429556388e-07,5.4796515106148025e-05,5.462813877204001e-05,-0.01181256693724965,-0.003242552691966792,-0.05287074991274077,-0.0022947525471024993,-0.028116922784814702,-0.012013586802665621,0.0009938588180681829,0.009826554901761875,0.0004052713610003533,-0.000293849428144477,-0.0004434754905815186,-0.002624779128938057,0.04604296267314186,-0.00037338882261855454,-1.1026955817861485e-05,5.479651510630826e-05,4.3769559288315476e-05,-0.005488946558339614,0.00337307119512787,-0.05177657492539835,-0.0012690784923271975,-0.017611540764190886,-0.005530140138381419,0.0002732645963486892,-0.001718042790923847,0.008018490869490127,0.007541643956434987,0.0011012460672662112,0.017956574200899786,0.9067194658846364,0.004282013696636846,-7.180892893567599e-08,5.4796515106300626e-05,5.4724706177368114e-05,-0.002834701688654899,-0.002254931117166719,-0.012841487544841702,2.602266354011462e-05,-0.006419994550877709,-0.0028738014892550215,-4.607500546125001e-05,0.0004003724752416787,0.00025720732436240946,2.632328679203843e-05,-3.9619261749090604e-05,0.00017544337118458647,-0.36309906837124556,0.000401299380855572,2.1010703755317103e-07,5.4796515106305546e-05,5.4586408068750356e-05,-0.0015279476273155773,0.002279406189782904,0.001260185150672428,0.0004389854941560647,-0.0009341641613887337,-0.0016015436295670823,-0.0001682705652031724,0.001226537191078405,-0.00013302815777678284,-0.0003711969762321209,-0.00028719699601238366,-0.0019976788486968764,-0.17090200304542483,0.0005642740488105981,5.234562145255326e-07,5.4796515106305404e-05,5.4273058891770773e-05,-0.0019445743454981005,-0.0027351047165233445,-0.008382334602601661,0.00026443327539782044,-0.0028944170942875624,-0.001988921044883477,1.3249655669614686e-05,0.006765878306598406,0.0001539863752512387,-0.00028593940380779566,-0.0002966495597924171,-0.0016771598398060902,0.03809922260934886,1.301915662824851e-05,1.4110111469216025e-06,5.479651510630083e-05,5.3385503959376994e-05,0.007008033654081336,-0.01370156062692895,0.06444322661829219,0.00408453380147651,0.02810078033675707,0.007139295250339702,-0.0011040138360689658,-0.004157317046240406,-0.0017406897197283057,-0.001389721051864672,-0.00020314376869549664,-0.0075877247313905416,-0.0008009097876225383,0.00040766082015136345
PC7,-9.633450323407864e-07,0.00034640862601034716,0.0003454452809780791,0.05562211553494917,0.009521944117210246,0.29557184677551385,0.011999092375452158,0.1505693950742062,0.0553014103127521,-0.004307621596273986,-0.005749156829270172,-0.0025983431805584045,-0.002774290007077594,-0.0001970462435186126,0.01492834655413041,0.4639816661553313,0.0011114628576815134,-6.308940715340097e-05,0.0003464086260103323,0.0002833192188574873,0.07837805547849387,-0.004639491766485217,0.4340802020565604,0.012716361554823507,0.17880296384502212,0.07843355692934832,-0.005748256184318557,-0.020271682066889757,0.003070294381758846,0.0028907860428041623,0.0008308399345663877,0.036382210381892224,0.10708771036113938,0.004689849244541386,-4.1084618723459233e-07,0.0003464086260103421,0.00034599777982312655,0.04810643773916957,-0.0022812881366771265,0.2593576299276055,0.008780239708157634,0.12291936493757893,0.04779461919593367,-0.0031912309465302797,0.01695531254523944,-0.0026004826692926195,-0.0032828910938638347,-0.0005120739534717922,0.015683699978252922,0.10718138149041137,0.0012757585389759861,1.2021022534848231e-06,0.0003464086260103419,0.0003452065237568539,0.017290469048664218,0.0024200118727349318,0.005114255968750855,0.0013007358195845104,0.023405728317803926,0.01684370284279564,-0.0005809752696760109,0.019620265048857388,-0.0014821318514834855,-0.0022370271073530157,-0.00030221188731628705,0.018244864442925838,-0.07909795604406827,0.0010404665992941832,2.9948920436451146e-06,0.0003464086260103421,0.00034341373396669015,0.027421217514454036,-0.005460755073603009,0.11131639909434873,0.003328837297061699,0.06274505001081888,0.026921034332400458,-0.0010165773508876254,0.0042460882918154185,-0.0017789055151138599,-0.002865074844964058,-0.0003866504924262867,0.019560990867220334,-0.06400287172943077,0.0006553320937253728,8.07293129805929e-06,0.0003464086260103346,0.0003383356947122726,-0.05707307140292234,0.0386106384019015,-0.4653811376956396,-0.030973694130453623,-0.20257540768100651,-0.05921826444129697,0.010638989546591617,0.05427768463615787,0.010096280143119626,0.005047623896311535,-0.0008901359709284359,0.04196021841457135,0.143068941863884,0.0008486169820133929
PC8,1.6416401751623631e-06,-0.0008733017585323133,-0.0008716601183571399,-0.009410657637519054,0.015538979218495008,-0.007634822024877808,-0.003598992499364878,-0.02338817761452583,-0.00826419034134851,0.0008402952088612525,-0.012541260486285302,0.005761692590398437,0.008574773563297354,0.0012776706165475576,-0.014912812911736982,-0.021467611155327547,-0.0031740549607208665,0.00010751091450329859,-0.0008733017585322279,-0.0007657908440287674,0.05853770290418371,-0.0041450106538272816,0.5800455681249662,0.012023272363621421,0.16932913116272022,0.0604020242269748,-0.0054913933918713225,-0.08713511778892102,0.006161882569890356,0.009930704406717237,0.0030147607843992803,-0.00030694660014301807,0.0021153591219856857,-0.0014977557898949447,7.001246533027726e-07,-0.0008733017585322316,-0.0008726016338789385,-0.06294947311099049,-0.019019157692838823,-0.377486520328507,-0.015916778213013107,-0.17952328407644239,-0.06239248758183883,0.0057038259122183434,0.019833103875287854,0.003972823150640495,0.006749430278300932,0.0014053721124318204,-0.021062714781712105,-0.03100418546865985,-0.0037593200482076306,-2.0485073236742377e-06,-0.000873301758532235,-0.0008712532512085579,-0.07328461352797147,0.01516784205665879,-0.33642184469293207,-0.017610109255468485,-0.17173301589188783,-0.07287995522654088,0.006644292546884275,0.007557132612559488,0.007730104163625885,0.009840547381619153,0.0014039299491940308,-0.014603338201572924,-0.032668704503489056,-0.004153125932443048,-5.103607673334877e-06,-0.0008733017585322241,-0.0008681981508588966,-0.0686826703941168,0.002766193287399479,-0.3042997838006873,-0.017808385304128663,-0.17141232433069054,-0.06815871156495364,0.006756264830842761,0.020578441353227585,0.005994618004106774,0.008107127041291368,0.0011738717085110274,-0.019704111631703113,-0.03788020974246251,-0.004363701783282227,-1.3757114953942326e-05,-0.0008733017585322273,-0.0008595446435782891,0.005693333034480414,0.005702686224689325,0.07244484428982328,0.007408174537709377,0.0253834728398955,0.007412242927926505,-0.003507528428945556,-0.032992393066509994,-0.0010751332718587413,0.0031919892285850963,0.0017774657531257842,-0.026896903673504318,-0.36786059537128224,-0.0035078767731576512
PC9,-2.45157096668625e-07,0.00010358757235073499,0.00010334241525415677,-0.016400392309174183,0.00041976948119215596,-0.09625550340044786,-0.006747446074539438,-0.05159162862663477,-0.01689113197850703,0.00283666300102289,0.04883958128328464,0.0006144869554398288,-0.00102474938043947,-0.0004895173002682218,0.00439521134775811,-0.03714715057464468,-0.0008240567296411982,-1.6055323242238045e-05,0.00010358757235082432,8.753224910860302e-05,0.02410731647073902,-0.002156894665307657,0.2111992774755416,0.004637364933333077,0.06343486763856546,0.024230348958620033,-0.002018268854161013,0.005068515379093772,0.002464344581027094,0.0015079883867983943,0.00024356946725610654,0.016931941684081568,-0.032518962429013795,0.002178123661103569,-1.045542926565499e-07,0.00010358757235081289,0.00010348301805818013,-0.02945222321165957,-0.012663030446682991,-0.20885698146737253,-0.009116297384740357,-0.09416197414726073,-0.02999685476434965,0.003758750528698251,0.05084353199845019,0.002229429851304989,0.001346376345992762,-0.0005209644725725528,0.0034840078318010962,-0.03993860156662266,9.037863945087061e-05,3.059172866077081e-07,0.00010358757235084107,0.00010328165506420395,-0.009842101092923385,-0.006054466535783493,-0.04210704395302646,-0.0034301567499002493,-0.02675592946899516,-0.010195817455371516,0.0013503660986080941,0.030180234145508657,0.0011183522957266415,0.00011930158761069898,-0.00026672004649319424,0.008331928428195615,-0.03194907222949494,0.0004193112597616281,7.62155835762593e-07,0.00010358757235083621,0.00010282541651508427,-0.02569178687010955,0.0007156917008042136,-0.13058038709071967,-0.0071020545983528525,-0.06909787694464985,-0.026259672717028254,0.0030290852043753083,0.041039545487971396,0.0012760549631106262,-0.0001597688467466565,-0.0009012631771081165,0.004268274807555144,-0.032818432755540375,0.0007796977472836287,2.0544419000259384e-06,0.00010358757235082289,0.00010153313045079867,0.01212258164084486,-0.01716917282299377,0.1583246322897821,0.0066951128545195875,0.07491862136337576,0.012021167320562296,-0.0004289928815026251,0.03672011382403906,0.0017910937867313555,0.0016245319047034502,-0.0006477776624940807,-0.00216591943946755,0.9001804948592413,0.0001799709801555251
PC10,-1.4338783256788522e-06,0.0007307104966877281,0.0007292766183620014,-0.07858617851369551,0.005043183297706505,-0.5412423371811022,-0.024362072057010076,-0.25319920296365106,-0.08089919133961229,0.009776877442040033,0.09364207480843803,-0.001163447681881924,-0.005755347271540916,-0.0023390020314723037,0.02188989418652261,-0.04142451862365726,0.001748627813664666,-9.390460370730818e-05,0.000730710496687585,0.0006368058929798934,0.054253153258628596,-0.01695117458695728,0.3674048742689818,0.013096831626865132,0.13331409506168282,0.05402575159593627,-0.005918698903824563,-0.02500724274292888,0.0026324451347636865,0.0002838307606708962,0.00040016036380006184,0.04644682175566506,-0.003363997627273888,0.006581129752180236,-6.115186389945905e-07,0.0007307104966875817,0.0007300989780485623,-0.005912522997299012,-0.0011790993800382533,-0.051906970170685976,0.0021236356285485986,-0.0076633391576295985,-0.0069846221573585275,-0.0001997565194151023,0.026836353156419558,-0.0023351844088876444,-0.005065189604063358,-0.001450382856601515,0.024605205329354663,-0.004942182077162123,0.002660616379816024,1.7892533917169947e-06,0.0007307104966875608,0.0007289212432958671,0.09911131310765271,-0.010139488890306936,0.5425422636083777,0.029881675041523097,0.2630244313107131,0.0993801499359812,-0.011743476961273295,-0.020108851375716358,-0.0060493577586018575,-0.006620188829461868,-0.0006836775702707743,0.022369195555368548,0.06535453571366324,0.004057153326465582,4.457707929072e-06,0.0007307104966875734,0.0007262527887585042,0.03668352264491043,-0.015489167963451749,0.14154906825498226,0.01391797456615171,0.09255844099640721,0.03624323479748149,-0.005309079490473699,0.0029724839110728788,-0.006794942587630845,-0.00803559362404349,-0.0010039123424323893,0.018404256905828233,0.04967570997034513,0.003698214022460418,1.201604910420041e-05,0.0007307104966875676,0.0007186944475833739,0.0011617708888660436,-0.06325252210346559,-0.07905528746390197,0.002683049260401194,0.011886066120666722,-0.00022487649415340918,-5.003571554137868e-06,0.05012360382082651,0.002754844165477113,-0.00025579338745454174,-0.0006905358344025282,0.0352600676866423,-0.11759338480425158,0.0028727320777051125
